domain,processName,filePattern,espApplication,jobName,espVerb
financebatch,ProcessAPInvoiceFiles,AP_EXPENSE_NA_PROJECTMATES,EFAP0100,#FAP0100.99BPEL50,RELEASE
financebatch,ProcessAPInvoiceFiles,AP_EXPENSE_NA_AVISTA,EFAP0110,#FAP0110.99BPEL50,RELEASE
financebatch,ProcessAPInvoiceFiles,AP_EXPENSE_NA_TYMETRIX,EFAP0120,#FAP0120.99BPEL50,RELEASE
financebatch,ProcessAPInvoiceFiles,AP_EXPENSE_NA_BIGSKY_STORES,EFAP0130,#FAP0130.99BPEL50,RELEASE
financebatch,ProcessAPInvoiceFiles,AP_EXPENSE_NA_BIGSKY_CORP,EFAP0130,#FAP0135.99BPEL50,RELEASE
financebatch,ProcessAPInvoiceFiles,AP_EXPENSE_NA_TDM,EFAP0140,#FAP0140.99BPEL50,RELEASE
financebatch,ProcessAPInvoiceFiles,AP_EXPENSE_NA_GSS,EFAP0150,#FAP0150.99BPEL50,RELEASE
financebatch,ProcessAPInvoiceFiles,AP_EXPENSE_NA_EXTENSITY,EFAP0160,#FAP0160.99BPEL50,RELEASE
financebatch,ProcessAPInvoiceFiles,AP_TRADE,EFAP0170,#FAP0170.99BPEL50,RELEASE
financebatch,ProcessAPInvoiceFiles,AP_GARNISHMENT_HR_US,EFAP0180,#FAP0180.USBPEL50,RELEASE
financebatch,ProcessAPInvoiceFiles,AP_GARNISHMENT_HR_CA,EFAP0180,#FAP0180.CABPEL50,RELEASE
financebatch,SyncSupplierData_EBS_Out,SyncSupplierGSS_,EFAP1835,#FAP1835.USBPEL50,RELEASE
financebatch,SyncSupplierData_EBS_Out,SyncSupplierPSFT_,EFAP1835,#FAP1835.USBPEL51,RELEASE
financebatch,SyncSupplierData_EBS_Out,SyncSupplierRMS_,EFAP1835,#FAP1835.USBPEL52,RELEASE
financebatch,ProcessTDMDCNData,TDM_AP_DCN,EFAP1845,EFAP1845.USPGMC50,RELEASE
financebatch,SyncInvoicePaymentStatus,BSinvcpymt,EFAP1850,#FAP1850.USBPEL50,RELEASE
financebatch,SyncInvoicePaymentStatus,BSCinvcpymt,EFAP1850,#FAP1850.USBPEL50,RELEASE
financebatch,SyncInvoicePaymentStatus,BSSinvcpymt,EFAP1850,#FAP1850.USBPEL51,RELEASE
financebatch,SyncInvoicePaymentStatus,PMinvcpymt,EFAP1850,#FAP1850.USBPEL59,RELEASE
financebatch,SyncInvoicePaymentStatus,TDMinvcpymt,EFAP1850,#FAP1850.USBPEL52,RELEASE
financebatch,SyncInvoicePaymentStatus,DLKinvcpymt,EFAP1850,#FAP1850.USBPEL53,RELEASE
financebatch,SyncInvoicePaymentStatus,CIinvcpymt,EFAP1850,#FAP1850.USBPEL54,RELEASE
financebatch,SyncInvoicePaymentStatus,SAinvcpymt,EFAP1850,#FAP1850.USBPEL55,RELEASE
financebatch,SyncInvoicePaymentStatus,PAIDinvcpymt,EFAP1850,#FAP1850.USBPEL56,RELEASE
financebatch,SyncInvoicePaymentStatus,GSSinvcpymt,EFAP1850,#FAP1850.USBPEL57,RELEASE
financebatch,SyncInvoicePaymentStatus,RLinvcpymt,EFAP1850,#FAP1850.USBPEL58,RELEASE
financebatch,SynchEBStoMVSData,OD_AP_FLASHSUM_MVSFTP,EFAP1700,#FAP1707.USBPEL50,RELEASE
financebatch,SynchEBStoMVSData,OD_AP_VENDOR_MVSFTP,EFAP1714,#FAP1714.USBPEL50,RELEASE
financebatch,SynchEBStoMVSData,OD_AP_INVOICE_MVSFTP,EFAP1715,#FAP1715.USBPEL50,RELEASE
financebatch,SynchEBStoMVSData,OD_GL_JOURNAL_MVSFTP,EFAP1716,#FAP1716.USBPEL50,RELEASE
financebatch,SynchEBStoMVSData,PSFIN_TRANSLATIONS_MVSFTP,APJD5520,APJD5520,RELEASE
financebatch,FTP_PositivePay_Out,pospay_wachovia_,EFAP1860,#FAP1860.USBPEL50,RELEASE
financebatch,FTP_PositivePay_Out,pospay_scotia_,EFAP2860,#FAP2860.CABPEL50,RELEASE
financebatch,CE_StoreBankDeposits_Upload,StoreBankDeposits,EFCEPOS,#FCEPOS.END,RELEASE
financebatch,FtpACHEFTPaymentAP_Out,BOA_EFT_EXP_EFT_NACHA_,EFAP1429,EFAP1420.USPGMC02,RELEASE
financebatch,FtpACHEFTPaymentAP_Out,BOA_EFT_EFT_SPEC_TERMS_NACHA_,EFAP1429,#FAP1421.USPGMC02,RELEASE
financebatch,FtpACHEFTPaymentAP_Out,WB_ACH_NACHA_,EFAP1422,#FAP1422.USBPEL50,RELEASE
financebatch,FtpACHEFTPaymentAP_Out,BOA_EFT_TRADE_EFT_NACHA_,EFAP1429,EFAP1423.USPGMC02,RELEASE
financebatch,FtpACHEFTPaymentAP_Out,BOA_EFT_TRADE_SPECIAL_TERMS_NACHA_,EFAP1429,EFAP1424.USPGMC02,RELEASE
financebatch,ProcessInboundBankFiles,BAI_BOAOFFICEZX,EFCE1020,EFCE1020.USPGMD10,RELEASE
financebatch,ProcessInboundBankFiles,BAI_234379_WACHOVIA_AS2,EFCE1010,EFCE1010.USPGMD10,RELEASE
financebatch,ProcessInboundBankFiles,BAI_FITB,EFCE1030,EFCE1030.USPGMD10,RELEASE
financebatch,ProcessInboundBankFiles,BAI_JPMC,EFCE1040,EFCE1040.USPGMD10,RELEASE
financebatch,ProcessInboundBankFiles,BAI_REGIONS,EFCE1060,EFCE1560.USPGMD10,RELEASE
financebatch,ProcessInboundBankFiles,BAI_SUNTRUST,EFCE1000,EFCE1000.USPGMD10,RELEASE
financebatch,ProcessInboundBankFiles,BAI_SCOTIABANK_ODCA,EFCE2000,EFCE2000.CAPGMD10,RELEASE
financebatch,ProcessInboundBankFiles,BAI_SCOTIABANK_ODPR,EFCE1080,EFCE1080.USPGMD10,RELEASE
financebatch,ProcessInboundBankFiles,BAI_AMSAVINGS,EFCE1050,EFCE1050.USPGMD02,RELEASE
financebatch,ProcessInboundBankFiles,BAI_CAIMPERIAL,EFCE2011,EFCE2011.CAPGMD10,RELEASE
financebatch,ProcessInboundBankFiles,BAI_qdxusrf1,EFCE1070,EFCE1070.USPGMD10,RELEASE
financebatch,PostJournalEntry,GL_Journals_NA_PS_PAY_US,EFGL1060,EFGL1060.USPGMC02,RELEASE
