PARTY_ORIG_SYSTEM,PARTY_ORIG_SYSTEM_REFERENCE,PARTY_NAME,CLASS_CATEGORY,CLASS_CODE,START_DATE_ACTIVE,PRIMARY_FLAG,CREATED_BY_MODULE
GDW,10601397-00001-A0,MILLWOOD ISD,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
GDW,10725985-00001-A0,SUMTER SCHOOL BOARD,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
GDW,10767159-00001-A0,PINE-RICHLAND SCH DIST,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
GDW,10810902-00001-A0,MARYLAND INST COLLEGE/ART,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
GDW,10877983-00001-A0,LA VEGA ISD,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
GDW,10925470-00001-A0,EMORY UNIV-GRADUATE SCH,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
GDW,11376864-00001-A0,MANSFIELD R-IV SCHOOLS,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
GDW,11409946-00001-A0,ROBINS AFB SCHOOLS,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
GDW,11430019-00001-A0,FORT LUPTON SCH DIST RE8,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
GDW,11812997-00001-A0,WINDSOR VILLAGE ELEM.,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
GDW,11993399-00001-A0,JOHN TYLER ELEM SCHOOL,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
GDW,12593049-00001-A0,OLDE COLUMBINE HIGH SCHOO,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
GDW,12910678-00001-A0,AIRFORCE ROTC UNIV FL,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
GDW,12910777-00001-A0,CARMAN-AINSWORTH COMMUNIT,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
GDW,13293164-00001-A0,LEAVENWORTH USD 453,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
GDW,20102099-00001-A0,SDHC EMPLOYEE ACCT,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
GDW,20128210-00001-A0,BALDWIN CNTY BOARD OF ED,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
GDW,20131405-00001-A0,UNIV OF WY-MOLECULAR BIO,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
GDW,20311589-00001-A0,CATHOLIC UNIV,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
GDW,20316977-00001-A0,CENTRAL FL CHRISTIAN ACAD,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
GDW,20342226-00001-A0,BALT CITY PUBLIC SCHOOLS,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
GDW,20917765-00001-A0,SOUTHEASTERN COLG,CUSTOMER_CATEGORY,HIGHER EDUCATION,,Y,XXGDW
